Date,CL=F,DX=F,ES=F,GC=F,ZN=F,ZW=F
2025-08-25,64.80000305175781,98.31800079345703,6455.5,3373.800048828125,111.96875,506.75
2025-08-26,63.25,98.12200164794922,6482.5,3388.60009765625,112.203125,509.5
2025-08-27,64.1500015258789,98.12699890136719,6496.0,3404.60009765625,112.40625,502.25
2025-08-28,64.5999984741211,97.73799896240234,6517.5,3431.800048828125,112.53125,510.25
2025-08-29,64.01000213623047,97.69000244140625,6472.75,3473.699951171875,112.453125,518.0
2025-09-02,65.58999633789062,98.34700012207031,6425.5,3549.39990234375,112.140625,513.0
2025-09-03,63.970001220703125,98.08300018310547,6457.25,3593.199951171875,112.59375,504.0
2025-09-04,63.47999954223633,98.30400085449219,6510.75,3565.800048828125,112.828125,502.25
2025-09-05,61.869998931884766,97.72799682617188,6489.75,3613.199951171875,113.359375,501.0
2025-09-08,62.2599983215332,97.41200256347656,6506.0,3638.10009765625,113.5,505.5
2025-09-09,62.630001068115234,97.75199890136719,6521.75,3643.300048828125,113.3125,500.75
2025-09-10,63.66999816894531,97.74700164794922,6539.75,3643.60009765625,113.515625,495.0
2025-09-11,62.369998931884766,97.52799987792969,6592.5,3636.89990234375,113.59375,503.0
2025-09-12,62.689998626708984,97.53600311279297,6588.25,3649.39990234375,113.25,503.0
2025-09-15,63.29999923706055,97.447998046875,6621.5,3682.199951171875,113.40625,525.0
2025-09-16,64.5199966430664,96.24800109863281,6610.75,3688.89990234375,113.515625,534.0
2025-09-17,64.05000305175781,96.5199966430664,6601.25,3681.800048828125,113.09375,528.25
2025-09-18,63.56999969482422,96.97100067138672,6635.0,3643.699951171875,112.96875,524.25
2025-09-19,62.68000030517578,97.2699966430664,6658.77001953125,3671.5,112.828125,522.5
2025-09-22,62.63999938964844,96.9749984741211,6752.5,3740.699951171875,112.703125,510.75
2025-09-23,63.40999984741211,96.89299774169922,6715.0,3780.60009765625,112.875,520.5
2025-09-24,64.98999786376953,97.51799774169922,6692.25,3732.10009765625,112.640625,519.5
2025-09-25,64.6500015258789,97.47000122070312,6688.75,3787.0,112.65625,522.25
